
11565
11565
T487 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS485
T492 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS483
T496 PH0.39 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS477
T500 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS479
T504 PH0.39 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS483
T509 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS485
T514 PH0.39 LV0.00 AV0.00 CU-132.00 FA0 FB0 PS483
T518 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS477
T522 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS479
T527 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS484
T531 PH0.39 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS483
T535 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS478
T539 PH0.39 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS478
T544 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS481
T548 PH0.39 LV0.00 AV0.00 CU-138.00 FA0 FB0 PS486
T552 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS483
T557 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS477
T561 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS478
T566 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS483
T570 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS484
T574 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS481
T578 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS478
T583 PH0.39 LV0.00 AV0.00 CU-132.00 FA0 FB0 PS480
T587 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS485
T591 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS483
T595 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS478
T601 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS478
T605 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS482
T609 PH0.39 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS486
T613 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS483
T617 PH0.39 LV0.00 AV0.00 CU-138.00 FA0 FB0 PS478
T622 PH0.39 LV0.00 AV0.00 CU-127.00 FA0 FB0 PS479
T626 PH0.39 LV0.00 AV0.00 CU-132.00 FA0 FB0 PS484
T630 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS483
T634 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS479
T640 PH0.39 LV0.00 AV0.00 CU-109.00 FA0 FB0 PS477
T644 PH0.39 LV0.00 AV0.00 CU-121.00 FA0 FB0 PS480
T648 PH0.39 LV0.00 AV0.00 CU-115.00 FA0 FB0 PS486
