5047 0.05 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
5110 0.05 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
5174 0.05 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
5237 0.06 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
5301 0.06 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
5364 0.06 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
5428 0.06 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
5491 0.06 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
5555 0.06 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
5617 0.06 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
5681 0.06 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
5744 0.06 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
5808 0.06 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
5871 0.06 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
5935 0.06 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
5998 0.06 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
6062 0.06 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
6125 0.06 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
6189 0.06 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
6252 0.06 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
6316 0.06 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
6379 0.06 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
6443 0.06 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
6506 0.06 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
6569 0.08 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
6633 0.08 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
6696 0.08 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
6760 0.08 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
6823 0.08 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
6887 0.08 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
6949 0.08 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
7013 0.08 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
7076 0.08 100.00 0 0 0.00 0.00 1.18  0.00 0.01  1.00
7140 0.08 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
7203 0.08 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
7267 0.08 100.00 0 0 0.00 0.00 1.14  0.00 0.01  1.00
7330 0.08 100.00 0 0 0.00 0.00 1.15  0.00 0.01  1.00
7394 0.08 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
7457 0.08 100.00 0 0 0.00 0.00 1.17  0.00 0.01  1.00
7521 0.08 100.00 0 0 0.00 0.00 1.16  0.00 0.01  1.00
7584 0.08 100.00 0 0 0.00 0.00 1.15  0.00 0.01  1.00
7648 0.08 100.00 1 0 0.00 0.00 1.16  0.00 0.01  1.00
7711 0.08 100.00 1 0 0.00 0.00 1.17  0.00 0.01  1.00
7775 0.08 100.00 1 0 0.00 0.00 1.18  0.00 0.01  1.00
7838 0.08 100.00 1 0 0.00 0.00 1.18  0.00 0.01  1.00
7902 0.09 100.00 1 0 0.00 0.00 1.17  0.00 0.01  1.00
7965 0.09 100.00 1 0 0.00 0.00 1.16  0.00 0.01  1.00
8029 0.09 100.00 1 0 0.00 0.00 1.16  0.00 0.01  1.00
8092 0.09 100.00 1 0 0.00 0.00 1.17  0.00 0.01  1.00
8156 0.09 100.00 1 0 0.00 0.00 1.18  0.00 0.01  1.00
